Backbone,Dataset,Method A,Method A role,Method B,Method B role,Fixes,Losses,Net fixes,Exact McNemar p,Accuracy/M-AVG delta,Video-cluster CI low,Video-cluster CI high,MLVU statistical unit note
Qwen3-VL-8B,VideoMME,Core32,baseline,E40,evaluated_method,102,78,24,0.08618731332869517,0.8888888888888857,-0.07407407407407618,1.8518518518518476,Delta and pairs=question accuracy
Qwen3-VL-8B,VideoMME,Core32,baseline,E48,evaluated_method,115,89,26,0.07980304693737997,0.9629629629629619,-0.07407407407407618,2.000925925925912,Delta and pairs=question accuracy
Qwen3-VL-8B,VideoMME,Core32,baseline,Full,evaluated_method,78,54,24,0.04488539312889564,0.8888888888888857,0.07407407407407618,1.6675925925925836,Delta and pairs=question accuracy
Qwen3-VL-8B,VideoMME,E40,baseline,Full,evaluated_method,45,45,0,1.0,0.0,-0.7037037037036953,0.7037037037036953,Delta and pairs=question accuracy
Qwen3-VL-8B,VideoMME,E48,baseline,Full,evaluated_method,48,50,-2,0.9196068309220417,-0.07407407407407618,-0.8148148148148096,0.6666666666666572,Delta and pairs=question accuracy
Qwen3-VL-8B,LongVideoBench,Core32,baseline,E40,evaluated_method,34,28,6,0.5257733601756501,0.4487658937920713,-0.7331647439292753,1.630859256878535,Delta and pairs=question accuracy
Qwen3-VL-8B,LongVideoBench,Core32,baseline,E48,evaluated_method,54,47,7,0.5507089135982718,0.5235602094240761,-0.898220413106369,1.959308074019227,Delta and pairs=question accuracy
Qwen3-VL-8B,LongVideoBench,Core32,baseline,Full,evaluated_method,29,21,8,0.3222363203575469,0.5983545250560951,-0.439560439560438,1.6308376575240902,Delta and pairs=question accuracy
Qwen3-VL-8B,LongVideoBench,E40,baseline,Full,evaluated_method,15,13,2,0.8505540192127228,0.14958863126402377,-0.6676681778829355,0.9615562546262078,Delta and pairs=question accuracy
Qwen3-VL-8B,LongVideoBench,E48,baseline,Full,evaluated_method,28,27,1,1.0,0.07479431563201899,-0.97234429794114,1.128668171557564,Delta and pairs=question accuracy
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,baseline,E40,evaluated_method,63,58,5,0.7162941145766412,0.15290281532601568,-0.9034693012203661,1.1918283364668123,Delta=M-AVG; fixes/losses/McNemar=question level
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,baseline,E48,evaluated_method,89,75,14,0.3100385628034409,0.7377168845667654,-0.5539705015198041,2.0192723644760155,Delta=M-AVG; fixes/losses/McNemar=question level
Qwen3-VL-8B,MLVU-Dev M-AVG,Core32,baseline,Full,evaluated_method,55,40,15,0.1505180638902296,0.6372491959226352,-0.2823151294175961,1.5844021369722134,Delta=M-AVG; fixes/losses/McNemar=question level
Qwen3-VL-8B,MLVU-Dev M-AVG,E40,baseline,Full,evaluated_method,37,27,10,0.2604354765766535,0.4843463805966195,-0.21774118787155636,1.2021751365939604,Delta=M-AVG; fixes/losses/McNemar=question level
Qwen3-VL-8B,MLVU-Dev M-AVG,E48,baseline,Full,evaluated_method,41,40,1,1.0,-0.10046768864413025,-1.039432103525908,0.862955909482463,Delta=M-AVG; fixes/losses/McNemar=question level
InternVL3-8B,VideoMME,Core32,baseline,E40,evaluated_method,92,72,20,0.13766165019746568,0.7407407407407334,-0.18518518518519045,1.6666666666666572,Delta and pairs=question accuracy
InternVL3-8B,VideoMME,Core32,baseline,E48,evaluated_method,130,87,43,0.004249037242308189,1.592592592592581,0.5555555555555571,2.6296296296296333,Delta and pairs=question accuracy
InternVL3-8B,VideoMME,Core32,baseline,Full,evaluated_method,77,48,29,0.011959013523238282,1.074074074074062,0.2592592592592524,1.8518518518518619,Delta and pairs=question accuracy
InternVL3-8B,VideoMME,E40,baseline,Full,evaluated_method,35,26,9,0.30567741986311836,0.3333333333333286,-0.22222222222222854,0.9259259259259238,Delta and pairs=question accuracy
InternVL3-8B,VideoMME,E48,baseline,Full,evaluated_method,47,61,-14,0.21076579397878198,-0.518518518518519,-1.2592592592592524,0.22222222222221433,Delta and pairs=question accuracy
InternVL3-8B,LongVideoBench,Core32,baseline,E40,evaluated_method,35,34,1,1.0,0.07479431563201899,-1.0550311945542217,1.2363664465364599,Delta and pairs=question accuracy
InternVL3-8B,LongVideoBench,Core32,baseline,E48,evaluated_method,49,46,3,0.8375560707290739,0.22438294689602856,-1.1914293017414774,1.6153608023520756,Delta and pairs=question accuracy
InternVL3-8B,LongVideoBench,Core32,baseline,Full,evaluated_method,24,28,-4,0.6778086391424605,-0.29917726252804755,-1.3483398750063116,0.7380346530737988,Delta and pairs=question accuracy
InternVL3-8B,LongVideoBench,E40,baseline,Full,evaluated_method,14,19,-5,0.48685024166479707,-0.37397157816006654,-1.2232649881021795,0.455235204855839,Delta and pairs=question accuracy
